"","Lat_05","Hel_15","Cro_15","SpB_10","Fra_05","Cru_05","Sto_05","Abr_10","StA_10","Stb_05","intercept"
"5001",0,-5.52391052438938,-3.31535994705126,-752.411448581306,-0.250757943398017,-1.83079526181654,-0.814418240818506,-3.1430801514157,-3.68196796593277,-2.07391641208749,-2.97400724168788
"5002",0,-5.62422104943072,-3.72399229949673,-408.636283637633,-0.259745453735251,-1.97949563461136,-0.755759766835575,-3.13564107705873,-3.12558059549086,-1.8490636712622,-3.00874332305956
"5003",0,-6.85083861980933,-3.1072597160984,-573.865288454789,-0.350165045320801,-1.73690106430797,-1.26174864232962,-3.32804392108615,-3.47488414866774,-2.42570231748806,-2.95923147611122
"5004",0,-7.25393256446274,-2.83313595220414,-689.654044515773,-0.175404098121296,-1.65950139655374,-1.27905251729741,-3.16040793609601,-4.44955996037711,-3.71072318566844,-2.83023943111164
"5005",0,-6.6347577477004,-2.71949748656621,-198.752096874683,-0.982379961599175,-1.36119518303052,-1.36346204819427,-3.36201351712435,-4.83549327419624,-2.70159902568257,-2.67325982245722
"5006",0,-3.98691261218405,-3.46181239334671,-370.533251369303,-0.996206618574663,-2.36200797661052,-1.28282043885461,-3.45062469658614,-4.65743420312983,-2.98757430947128,-2.44503848638673
"5007",0,-3.41990675330912,-4.05410990839625,-836.503303133747,-0.509895571478837,-2.27457705080448,-1.11272181447525,-3.3734768408062,-4.90282839845286,-2.89644112114302,-2.58563490652256
"5008",0,-3.68794782111523,-3.27882623657233,-258.222810065618,-0.521946125368827,-2.2393766544312,-0.952102529287554,-3.35808769312451,-4.16079607212822,-1.92885625811436,-2.89043882210837
"5009",0,-4.36872752126846,-3.13795163635691,-358.788358835712,-0.620506464018225,-1.95706760547156,-1.00867097018928,-4.52126562435266,-3.5369560301269,-1.97152910881784,-2.84737203299787
"5010",0,-4.48706315659219,-3.45492447603777,-425.714360355586,-0.596072957167178,-1.79486791552852,-1.05543271445685,-3.75799564649652,-3.18221041842636,-3.12693273810784,-2.8064245766339
"5011",0,-8.1219675502782,-3.45276714047484,-305.155799163857,-0.590789047540092,-1.99338885539098,-0.717983371789441,-3.24876505984165,-5.86432870711253,-1.30721723788578,-2.7746801457291
"5012",0,-5.7130177477691,-3.21987349971815,-5.48898622979289,-0.644799400548203,-1.89493425727039,-0.685509550862462,-2.09034686777628,-6.00944836937444,-1.86287577410818,-2.91673473574867
"5013",0,-6.00012463128921,-3.2381143818492,-165.534678881825,-0.683622826463207,-2.01389860832219,-0.478957162244762,-2.1620205572659,-4.87233571571898,-1.80330362114125,-2.85182336216892
"5014",0,-7.10471351054324,-3.40996489109243,-570.260826879541,-0.279089341082126,-1.67381065089828,-1.05981875913334,-2.69764995262753,-5.41549364721925,-2.33134099714299,-3.08407861879879
"5015",0,-7.14885381775063,-3.11119164769593,-77.3652766593323,-0.40979755705773,-1.75236469754003,-0.234294542321253,-3.05647593072611,-4.94033232490926,-2.18065351668154,-2.95625271488404
"5016",0,-4.66731621513726,-4.06587440718469,-40.9328072143614,-0.508219288600142,-1.5006199379528,-1.06883722924341,-2.90106371711881,-4.1594709136932,-1.47897774959763,-2.65185869767983
"5017",0,-4.86943281340245,-4.16683989866953,-41.2938650622106,-0.909442748079561,-1.50392700389191,-0.984122637834898,-3.01843165161052,-4.92757782260907,-3.56927244323396,-2.62877687484118
"5018",0,-5.96344147733743,-3.45988183035744,-7.43604808355794,-0.927403707940816,-1.63019300789677,-0.997283767318609,-3.63989546562601,-5.52607944977361,-2.55813805731295,-2.59467468397244
"5019",0,-5.84919689723214,-3.48590973893505,-347.199266946319,-0.552914311082897,-1.48360511186551,-0.802739581397944,-3.7779284901364,-5.74889267684702,-1.81473659839762,-2.87886029311143
