"","Lat_05","Hel_15","Cro_15","SpB_10","Fra_05","Cru_05","Sto_05","Abr_10","StA_10","Stb_05","intercept"
"5001",0,-5.8947718295028,-3.7866383739686,-1416.54151272941,-1.32525686639278,-2.17495435523071,-1.60747670315075,-4.05387599330475,-5.83790299648555,-2.57377178844096,-2.46286220517142
"5002",0,-4.19400356390758,-4.35049585330732,-814.31355112251,-0.847344126413828,-1.79181460886861,-1.7013358229424,-3.57195042864586,-4.10275598965798,-2.36527999369342,-2.49027769904395
"5003",0,-4.50789738333344,-4.31139811087252,-1924.46885924427,-1.10673866305694,-1.7564723067408,-1.49279731007362,-3.57214786467846,-7.26156218799033,-2.05487949870241,-2.44392917274421
"5004",0,-4.31942359151864,-4.21785203245472,-543.688542275996,-1.2107149525729,-2.07801034230547,-1.78520447986077,-5.00691562658139,-3.92024402779233,-2.43839296074426,-2.53747460081612
"5005",0,-4.53949285217036,-3.93316303299173,-982.35438951361,-0.786985451367598,-2.1797351343783,-1.49513630004327,-4.45310010498605,-4.11521529166343,-3.06586558733298,-2.53248740721445
"5006",0,-6.14942561371649,-3.8312767848388,-882.612686208661,-0.940233100071736,-2.36722924640039,-1.64410451939383,-2.88718478127349,-6.09364337689195,-2.60980146921278,-2.49151456913287
"5007",0,-8.20833794785604,-3.82851318785071,-639.355574236244,-0.984514452615535,-1.92136343469642,-1.7425579610078,-3.24636425311673,-6.3381383227295,-2.53488514030825,-2.52237709987103
"5008",0,-3.6742690006187,-3.58430109851719,-599.279051643453,-1.15056917094605,-1.79880237949597,-1.29551016763364,-3.3929927255662,-6.60001714134255,-2.49137030277548,-2.56891845891407
"5009",0,-6.79530680853079,-3.97198551693333,-768.336692409672,-1.07106157078175,-2.12645261039749,-1.77061799715902,-5.58478173087093,-7.99697272662736,-2.46588878537256,-2.35595010517962
"5010",0,-7.21854002737521,-3.55677705482386,-848.193194052095,-1.01714959322179,-2.15887776504479,-1.4772368366959,-3.83705724768713,-5.19818911249422,-2.33946225022461,-2.74766196936985
"5011",0,-6.15388118992247,-3.32906386621403,-1269.79541746968,-1.0625175030385,-1.65778307963946,-1.56760781444628,-4.87578583770814,-5.12558485359929,-2.179267678398,-2.55371808487375
"5012",0,-4.49347852713849,-4.1067844418447,-1230.74403146949,-1.09989549774662,-1.41217491415692,-1.61732147922447,-4.16944708196975,-4.90457996924963,-3.4667544295931,-2.702096646797
"5013",0,-6.07597993609228,-3.61713661904612,-381.606691069936,-1.0662622345353,-1.83872165840208,-1.35046613661942,-3.14348793482035,-5.193523248889,-2.87350343045856,-2.46492835393964
"5014",0,-4.55366330685248,-3.79103413702995,-942.035626684984,-0.956407450008913,-2.15389949196235,-1.83997054627963,-3.89205827276586,-4.99124776068971,-3.0591861910594,-2.32751506553142
"5015",0,-6.79803677273424,-3.69275056092936,-563.910191399033,-1.07681322057051,-2.13153765786384,-1.80219016119007,-3.69202006049482,-3.25121530940039,-3.07775520205505,-2.69350006948442
"5016",0,-6.28787229028158,-3.18900196215275,-247.562116213023,-1.02749016903807,-1.58707987472715,-1.69315306384526,-4.40169805228278,-4.4644282065789,-2.94313947631832,-2.47097533747932
"5017",0,-6.41881449694613,-3.45539077088724,-323.059265324811,-1.25843275121022,-1.91431020319337,-1.45405037029956,-4.25181588416216,-4.97100139890037,-2.86216296207899,-2.46266406310645
"5018",0,-6.62135905101121,-3.83936741386241,-348.682677011772,-1.19271714350619,-1.94174856732706,-1.47036276564658,-3.43149275700832,-4.67118990991841,-3.24355150717699,-2.36131384685425
"5019",0,-8.31893220199022,-3.58409797380207,-283.266089491795,-1.09991875511211,-2.03270881965246,-1.83146413048519,-3.95468493445307,-4.65038555116273,-2.91947602619747,-2.46490696359623
"5020",0,-5.69440976242283,-4.32898760068001,-44.7442601893417,-1.38236035338831,-2.14827542323537,-2.07407628981889,-4.1579403872344,-4.24643220927386,-2.3411017024492,-2.35409131561406
"5021",0,-6.79010067128329,-3.97375158746728,-122.396768277302,-1.25413477616557,-2.17264763311416,-2.09083124066461,-3.75933156213353,-5.14803581487791,-2.45014877559319,-2.17876617834547
"5022",0,-6.45641392291791,-3.62123852852366,-595.901144331721,-1.39007669177251,-2.36164394968117,-2.28518468937319,-5.49548418269028,-5.02290079749477,-3.41799371396419,-2.26157707871622
"5023",0,-6.33636578910168,-4.06567628167075,-438.959147579001,-1.46025703543907,-1.99726699791948,-1.97513658157841,-5.41710544006557,-5.43636022543352,-4.40415663566935,-2.30036571086879
