Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
-0.0625,57.4375,5.398530483,8.517300606,0.516988993,0.25406608,0.027752174,6.15E-12,0.275258303,0.381836772,0,0,0.240086898,90.9657135,0.450909585,0.065732241,64.12686157,24.73357201,0.040126327,0.369060934
0.0625,57.4375,4.683876514,1.798147678,0.672442377,0.224885106,0.023298522,2.50E-11,0.311964363,0.375841796,0,0,0.229499266,97.52941132,0.515995085,0.070247293,58.66955948,23.79423332,0.042470664,0.500192225
0.1875,57.4375,4.677499294,1.75647974,0.713944435,0.226961762,0.023580782,1.12E-12,0.292692035,0.394002765,0,0,0.20971857,97.52957916,0.470032007,0.066778451,58.34711456,22.98849678,0.041583385,0.254890859
0.3125,57.4375,4.575248718,0.372287154,0.467248946,0.269460708,0.029986603,5.56E-13,0.237918794,0.401160032,0,0,0.223895237,99.16046143,0.377559513,0.060875274,55.41191864,22.24071312,0.038360499,0.219219223
0.4375,57.4375,4.573019505,0.472090513,0.7494542,0.240618289,0.025549306,3.25E-13,0.260621935,0.407796293,0,0,0.203854576,98.77845764,0.40900442,0.064518034,53.71709061,21.38671684,0.041111574,0.195176467
0.5625,57.4375,4.561591625,0.338199824,0.791706324,0.224080265,0.023138819,2.56E-13,0.300162375,0.411112875,0,0,0.178449824,98.8700943,0.468418628,0.072566353,51.8781662,20.66889572,0.04650047,0.18531397
0.6875,57.4375,4.548267365,0.179456279,0.860876262,0.217307076,0.022182114,1.59E-13,0.288143665,0.418472946,0,0,0.180494517,98.95967102,0.444042832,0.069789156,50.09170151,19.801054,0.045286857,0.167044491
0.8125,57.4375,5.118802071,7.295566082,1.206350446,0.210805237,0.021283634,9.45E-14,0.291890681,0.427602798,0,0,0.246594265,91.49808502,0.442755163,0.072290607,47.61649323,18.997118,0.047658291,0.149320394
0.9375,57.4375,5.198918819,8.106638908,1.198266864,0.200581223,0.019907121,6.43E-14,0.316920489,0.435272396,0,0,0.222908944,90.69509125,0.474280417,0.075176269,46.22015762,18.6282711,0.050233781,0.137341633
1.0625,57.4375,5.218242645,8.771879196,1.908391953,0.190959007,0.018650053,3.68E-14,0.324781507,0.447764874,0,0,0.168593779,89.31972504,0.475292772,0.076286033,45.49049759,18.2243576,0.05212849,0.121697955
1.1875,57.4375,4.651218891,1.703454733,1.341167331,0.204246357,0.020427387,7.07E-14,0.328497946,0.433291167,0,0,0.1731565,96.95537567,0.493331134,0.077116378,44.62468338,17.7629528,0.051350038,0.140230715
1.3125,57.4375,4.545098305,0.140795901,1.283041954,0.222815201,0.022991665,1.34E-13,0.32036826,0.421347499,0,0,0.14863123,98.57616425,0.491262019,0.07621561,43.55774307,17.22804642,0.04970273,0.16096966
